buffer distance [km],buffer Euclidean area [Â°2]
9976,3.194461724887849e+04
9977,3.195880657638109e+04
9978,3.197307794701304e+04
9979,3.198743477007505e+04
9980,3.200188074989057e+04
9981,3.201641992572986e+04
9982,3.203105671925794e+04
9983,3.204579599136114e+04
9984,3.206064311077811e+04
9985,3.207560403775436e+04
9986,3.209068542705750e+04
9987,3.210589475625612e+04
9988,3.212124048747046e+04
9989,3.213673227419152e+04
9990,3.215238122989574e+04
9991,3.216820028315276e+04
9992,3.218420465661491e+04
9993,3.220041252815544e+04
9994,3.221684596787200e+04
9995,3.223353230716557e+04
9996,3.225050620993737e+04
9997,3.226781292724227e+04
9998,3.228551358144086e+04
9999,3.230369358887029e+04
10000,3.232247191663594e+04
10001,3.234197776726329e+04
10002,3.237004221514847e+04
10003,3.239018825407555e+04
10004,3.240964186505061e+04
10005,3.242837477411421e+04
10006,3.244651858489855e+04
10007,3.246418990405899e+04
10008,3.248147214685395e+04
10009,3.249842511914988e+04
10010,3.251509320662195e+04
10011,3.253151048355510e+04
